card,reason
Kohl Franklin,no_scp_url
Luis Mieses,no_scp_url
Luis Santana,no_scp_url
Marcus Smith,no_scp_url
Mariel Bautista,no_scp_url
Matt Scheffler,no_scp_url
Max Ferguson,no_scp_url
Michael Guldberg,no_scp_url
Michael McAvene,no_scp_url
Pablo Abreu,no_scp_url
Rafael Morel,no_scp_url
Rayner Santana,no_scp_url
Riley Thompson,no_scp_url
Sandy Gaston,no_scp_url
Santiago Florez,no_scp_url
Sean Roby,no_scp_url
Stevie Emanuels,no_scp_url
Taylor Dollard,no_scp_url
Tucker Bradley,no_scp_url
Tyler Keenan,no_scp_url
Viandel Pena,no_scp_url
Zane Mills,no_scp_url
Alejandro Hidalgo,no_scp_url
Alexander Ovalles,no_scp_url
Alexander Suarez,no_scp_url
Andy Thomas,no_scp_url
Antonio Pinero,no_scp_url
Austin Schultz,no_scp_url
Brandol Mezquita,no_scp_url
Brandon Birdsell,no_scp_url
CJ Rodriguez,no_scp_url
Cade Doughty,no_scp_url
Cal Conley,no_scp_url
Charlie Welch,no_scp_url
Collin Burns,no_scp_url
Cooper Bowman,no_scp_url
Creed Willems,no_scp_url
Cristian Gonzalez,no_scp_url
D'Andre Smith,no_scp_url
Damiano Palmegiani,no_scp_url
Daniel McElveny,no_scp_url
David McCabe,no_scp_url
Dayton Dooney,no_scp_url
Donta Williams,no_scp_url
Douglas Hodo III,no_scp_url
Dylan DeLucia,no_scp_url
Eduardo Vaughan,no_scp_url
Elijah Cabell,no_scp_url
Estanli Castillo,no_scp_url
Federico Polanco,no_scp_url
Gavin Conticello,no_scp_url
Greg Cullen,no_scp_url
Herard Gonzalez,no_scp_url
Hunter Patteson,no_scp_url
Isaac De Leon,no_scp_url
JT Schwartz,no_scp_url
Jack Herman,no_scp_url
Jaden Rudd,no_scp_url
Jake Rucker,no_scp_url
Jared Poland,no_scp_url
Jarlin Susana,no_scp_url
JoJo Blackmon,no_scp_url
John Rhodes,no_scp_url
Juan Querecuto,no_scp_url
Kevin Kendall,no_scp_url
Liam Spence,no_scp_url
Luis Chevalier,no_scp_url
Mason Albright,no_scp_url
Mason Auer,no_scp_url
baseball-cards-2015-bowman-draft-chrome/ashe-russell-14,parse:KeyError
Juan Meza,no_scp_url
Daniel Gonzalez,no_scp_url
Danny Diaz,no_scp_url
Junior Santos,no_scp_url
Kala'i Rosario,no_scp_url
Kendall Simmons,no_scp_url
