player_name,mlb_id,class_year,family,role,card_type,set_slug,scp_url,auto_card_url
Bryan Acuna,703195,2022,chrome,hitter,bowman_1st_base,baseball-cards-2022-bowman-chrome-prospects,https://www.sportscardspro.com/game/baseball-cards-2022-bowman-chrome-prospects/bryan-acuna-bcp-151,https://www.sportscardspro.com/game/baseball-cards-2022-bowman-chrome-prospect-autographs/bryan-acuna-cpa-ba
Bryce Hubbart,687114,2022,draft,pitcher,bowman_1st_base,baseball-cards-2022-bowman-draft-chrome,https://www.sportscardspro.com/game/baseball-cards-2022-bowman-draft-chrome/bryce-hubbart-bdc-17,https://www.sportscardspro.com/game/baseball-cards-2022-bowman-draft-chrome-autographs/bryce-hubbart-cda-bh
CJ Rodriguez,675430,2022,chrome,hitter,bowman_1st_base,,,https://www.sportscardspro.com/game/baseball-cards-2022-bowman-chrome-prospect-autographs/cj-rodriguez-cpa-cjr
Cade Doughty,683103,2022,draft,hitter,bowman_1st_base,,,https://www.sportscardspro.com/game/baseball-cards-2022-bowman-draft-chrome-autographs/cade-doughty-cda-cdy
Cal Conley,695462,2022,chrome,hitter,bowman_1st_base,,,https://www.sportscardspro.com/game/baseball-cards-2022-bowman-chrome-prospect-autographs/cal-conley-cpa-cc
Carlos Aguiar,678690,2022,chrome,hitter,bowman_1st_base,baseball-cards-2022-bowman-chrome-prospects,https://www.sportscardspro.com/game/baseball-cards-2022-bowman-chrome-prospects/carlos-aguiar-bcp-1,https://www.sportscardspro.com/game/baseball-cards-2022-bowman-chrome-prospect-autographs/carlos-aguiar-cpa-ca
Cayden Wallace,691024,2022,draft,hitter,bowman_1st_base,baseball-cards-2022-bowman-draft-chrome,https://www.sportscardspro.com/game/baseball-cards-2022-bowman-draft-chrome/cayden-wallace-bdc-12,https://www.sportscardspro.com/game/baseball-cards-2022-bowman-draft-chrome-autographs/cayden-wallace-cda-cw
Charlie Welch,681234,2022,chrome,hitter,bowman_1st_base,,,https://www.sportscardspro.com/game/baseball-cards-2022-bowman-chrome-prospect-autographs/charlie-welch-cpa-cw
Christopher Paciolla,800627,2022,draft,hitter,bowman_1st_base,baseball-cards-2022-bowman-draft-chrome,https://www.sportscardspro.com/game/baseball-cards-2022-bowman-draft-chrome/christopher-paciolla-bdc-185,https://www.sportscardspro.com/game/baseball-cards-2022-bowman-draft-chrome-autographs/christopher-paciolla-cda-cpa
Collin Burns,700936,2022,chrome,hitter,bowman_1st_base,,,https://www.sportscardspro.com/game/baseball-cards-2022-bowman-chrome-prospect-autographs/collin-burns-cpa-cbs
Cooper Bowman,688682,2022,chrome,hitter,bowman_1st_base,,,https://www.sportscardspro.com/game/baseball-cards-2022-bowman-chrome-prospect-autographs/cooper-bowman-cpa-cb
Creed Willems,695735,2022,chrome,hitter,bowman_1st_base,,,https://www.sportscardspro.com/game/baseball-cards-2022-bowman-chrome-prospect-autographs/creed-willems-cpa-cw
Cristhian Vaquero,703143,2022,chrome,hitter,bowman_1st_base,baseball-cards-2022-bowman-chrome-prospects,https://www.sportscardspro.com/game/baseball-cards-2022-bowman-chrome-prospects/cristhian-vaquero-bcp-157,https://www.sportscardspro.com/game/baseball-cards-2022-bowman-chrome-prospect-autographs/cristhian-vaquero-cpa-cv
Cristian Gonzalez,682685,2022,chrome,hitter,bowman_1st_base,,,https://www.sportscardspro.com/game/baseball-cards-2022-bowman-chrome-prospect-autographs/cristian-gonzalez-cpa-cg
Cutter Coffey,702690,2022,draft,hitter,bowman_1st_base,baseball-cards-2022-bowman-draft-chrome,https://www.sportscardspro.com/game/baseball-cards-2022-bowman-draft-chrome/cutter-coffey-bdc-200,https://www.sportscardspro.com/game/baseball-cards-2022-bowman-draft-chrome-autographs/cutter-coffey-cda-cc
D'Andre Smith,694266,2022,draft,hitter,bowman_1st_base,,,https://www.sportscardspro.com/game/baseball-cards-2022-bowman-draft-chrome-autographs/d%27andre-smith-cda-ds
Damiano Palmegiani,671913,2022,chrome,hitter,bowman_1st_base,,,https://www.sportscardspro.com/game/baseball-cards-2022-bowman-chrome-prospect-autographs/damiano-palmegiani-cpa-dp
Daniel McElveny,695772,2022,chrome,hitter,bowman_1st_base,,,https://www.sportscardspro.com/game/baseball-cards-2022-bowman-chrome-prospect-autographs/daniel-mcelveny-cpa-dmy
Daniel Vazquez,694187,2022,chrome,hitter,bowman_1st_base,baseball-cards-2022-bowman-chrome-prospects,https://www.sportscardspro.com/game/baseball-cards-2022-bowman-chrome-prospects/daniel-vazquez-bcp-199,https://www.sportscardspro.com/game/baseball-cards-2022-bowman-chrome-prospect-autographs/daniel-vazquez-cpa-dvz
Danny De Andrade,694185,2022,chrome,hitter,bowman_1st_base,baseball-cards-2022-bowman-chrome-prospects,https://www.sportscardspro.com/game/baseball-cards-2022-bowman-chrome-prospects/danny-de-andrade-bcp-156,https://www.sportscardspro.com/game/baseball-cards-2022-bowman-chrome-prospect-autographs/danny-de-andrade-cpa-dde
Danyer Cueva,694227,2022,chrome,hitter,bowman_1st_base,baseball-cards-2022-bowman-chrome-prospects,https://www.sportscardspro.com/game/baseball-cards-2022-bowman-chrome-prospects/danyer-cueva-bcp-173,https://www.sportscardspro.com/game/baseball-cards-2022-bowman-chrome-prospect-autographs/danyer-cueva-cpa-dca
