player_name,class_year,reason
Larry Ernesto,2022,no_base_card
Nathan Hickey,2022,no_base_card
Nathan Martorella,2022,no_base_card
Noah Miller,2022,no_base_card
Pablo Aliendo,2022,no_base_card
Parker Chavers,2022,no_base_card
Quincy Hamilton,2022,no_base_card
Reed Trimble,2022,no_base_card
Roilan Machandy,2022,no_base_card
Sebastian Espino,2022,no_base_card
Silas Ardoin,2022,no_base_card
Thomas Farr,2022,no_base_card
Tucker Toman,2022,no_base_card
Tyler Hardman,2022,no_base_card
Tyler Stuart,2022,no_base_card
Tyler Whitaker,2022,no_base_card
Victor Mesia,2022,no_base_card
Wilmin Candelario,2022,no_base_card
Yan Contreras,2022,no_base_card
Yeison Santana,2022,no_base_card
Zion Bannister,2022,no_base_card
Adam Crampton,2023,no_base_card
Andy Perez,2023,no_base_card
Ben Metzinger,2023,no_base_card
Bjay Cooke,2023,no_base_card
Braylin Tavera,2023,no_base_card
Brennan Milone,2023,no_base_card
Bryan Rincon,2023,no_base_card
Bryant Betancourt,2023,no_base_card
Cade Hunter,2023,no_base_card
Calvin Harris,2023,no_base_card
Carlos De La Cruz,2023,no_base_card
Chase Estep,2023,no_base_card
Chris Newell,2023,no_base_card
Clark Elliott,2023,no_base_card
Colin Peluse,2023,no_base_card
Connor Staine,2023,no_base_card
Damon Keith,2023,no_base_card
Daniel Mateo,2023,no_base_card
Danny Serretti,2023,no_base_card
Dario Borrero,2023,no_base_card
Dario Laverde,2023,no_base_card
Demetrio Crisantes,2023,no_base_card
Diego Hernandez,2023,no_base_card
Diego Mosquera,2023,no_base_card
Eddy Beltre,2023,no_base_card
Enmanuel Terrero,2023,no_base_card
Everett Cooper III,2023,no_base_card
Fredy Michel,2023,no_base_card
Geraldo Quintero,2023,no_base_card
Griff McGarry,2023,no_base_card
Hayden Dunhurst,2023,no_base_card
Jack Pineda,2023,no_base_card
Jackson Ferris,2023,no_base_card
Jadiel Sanchez,2023,no_base_card
Jair Casanova,2023,no_base_card
Javier Valdes,2023,no_base_card
Jesus Bastidas,2023,no_base_card
Jesus Bugarin,2023,no_base_card
Jhonny Piron,2023,no_base_card
Joel Diaz,2023,no_base_card
Jordy Vargas,2023,no_base_card
Jorel Ortega,2023,no_base_card
Josh Hood,2023,no_base_card
Juan Carela,2023,no_base_card
Juan Corniel,2023,no_base_card
Junior Franco,2023,no_base_card
Junior Marin,2023,no_base_card
Junior Tilien,2023,no_base_card
Kristin Munroe,2023,no_base_card
Lamar King Jr.,2023,no_base_card
Luis Ravelo,2023,no_base_card
Luis Reyes,2023,no_base_card
Luke Berryhill,2023,no_base_card
Luke Gold,2023,no_base_card
Maick Collado,2023,no_base_card
Marco Vargas,2023,no_base_card
Matthew Wood,2023,no_base_card
Nick Vogt,2023,no_base_card
Omari Daniel,2023,no_base_card
Paul McIntosh,2023,no_base_card
Peyton Williams,2023,no_base_card
Ricardo Olivar,2023,no_base_card
Ronald Hernandez,2023,no_base_card
Royber Salinas,2023,no_base_card
Samil De La Rosa,2023,no_base_card
Sem Robberse,2023,no_base_card
Spence Coffman,2023,no_base_card
Tommy Specht,2023,no_base_card
Torin Montgomery,2023,no_base_card
Trey Faltine,2023,no_base_card
Vaun Brown,2023,no_base_card
Wuilfredo Antunez,2023,no_base_card
Yeniel Laboy,2023,no_base_card
Yoander Rivero,2023,no_base_card
Yonatan Henriquez,2023,no_base_card
Aaron Parker,2024,no_base_card
Abdias De La Cruz,2024,no_base_card
Adler Cecil,2024,no_base_card
Adrian De Leon,2024,no_base_card
Aiden May,2024,no_base_card
Alfonsin Rosario,2024,no_base_card
Alfredo Alcantara,2024,no_base_card
Aneudis Mordan,2024,no_base_card
Anibal Salas,2024,no_base_card
Ariel Armas,2024,no_base_card
Bairon Ledesma,2024,no_base_card
Barrett Kent,2024,no_base_card
Ben Hess,2024,no_base_card
Bennett Lee,2024,no_base_card
Bernard Moon,2024,no_base_card
Billy Amick,2024,no_base_card
Blake Burke,2024,no_base_card
Blake Larson,2024,no_base_card
Blake Wright,2024,no_base_card
Boston Baro,2024,no_base_card
Boston Bateman,2024,no_base_card
Brady Cerkownyk,2024,no_base_card
Brandon Neely,2024,no_base_card
Braylon Doughty,2024,no_base_card
Brian Holiday,2024,no_base_card
Bryce Meccage,2024,no_base_card
Carlos Batista,2024,no_base_card
Carson DeMartini,2024,no_base_card
Carter Holton,2024,no_base_card
Carter Johnson,2024,no_base_card
Carter Mathison,2024,no_base_card
Casey Cook,2024,no_base_card
Casey Saucke,2024,no_base_card
Cesar Quintas,2024,no_base_card
Chandler Pollard,2024,no_base_card
Chase Harlan,2024,no_base_card
Chris Cortez,2024,no_base_card
Clayton Campbell,2024,no_base_card
Cole Mathis,2024,no_base_card
Cole Messina,2024,no_base_card
Connor Foley,2024,no_base_card
Cristopher Larez,2024,no_base_card
Daniel Eagen,2024,no_base_card
Dominic Pitelli,2024,no_base_card
Drew Beam,2024,no_base_card
Dylan Dreiling,2024,no_base_card
Eddie Rynders,2024,no_base_card
Eli Serrano,2024,no_base_card
Erick Bautista,2024,no_base_card
Erick Torres,2024,no_base_card
Ethan Schiefelbein,2024,no_base_card
Felix Taveras,2024,no_base_card
Fenwick Trimble,2024,no_base_card
Fraymi De Leon,2024,no_base_card
Gabriel Lara,2024,no_base_card
Gage Miller,2024,no_base_card
Gage Ziehl,2024,no_base_card
Gavin Dugas,2024,no_base_card
Griff O'Ferrall,2024,no_base_card
Griffin Burkholder,2024,no_base_card
Guillermo Williamson,2024,no_base_card
Herick Hernandez,2024,no_base_card
Ivan Luciano,2024,no_base_card
Iverson Allen,2024,no_base_card
Jacob Cozart,2024,no_base_card
Jaeden Calderon,2024,no_base_card
Jaime Ferrer,2024,no_base_card
Jancory De La Cruz,2024,no_base_card
Janero Miller,2024,no_base_card
Jaron DeBerry,2024,no_base_card
Javier Francisco,2024,no_base_card
Jeffry Rosa,2024,no_base_card
Jeremy Rodriguez,2024,no_base_card
John Spikerman,2024,no_base_card
Johnny King,2024,no_base_card
Jonathan Santucci,2024,no_base_card
Jorge Marcheco,2024,no_base_card
Josh Adamczewski,2024,no_base_card
Josh Caron,2024,no_base_card
Kalae Harrison,2024,no_base_card
Kannon Kemp,2024,no_base_card
Kavares Tears,2024,no_base_card
Kelvin Hidalgo,2024,no_base_card
Khal Stephen,2024,no_base_card
Kodey Shojinaga,2024,no_base_card
Kyle Henley,2024,no_base_card
Leiker Figueroa,2024,no_base_card
Levi Sterling,2024,no_base_card
Luis Suisbel,2024,no_base_card
Luke Holman,2024,no_base_card
Maikol Orozco,2024,no_base_card
Marco Corcho,2024,no_base_card
Marvin Alcantara,2024,no_base_card
Mason McGwire,2024,no_base_card
Milo Rushford,2024,no_base_card
Nate Dohm,2024,no_base_card
Nathan Flewelling,2024,no_base_card
Nehomar Ochoa Jr.,2024,no_base_card
Neyfy Castillo,2024,no_base_card
Nick McLain,2024,no_base_card
Nick Mitchell,2024,no_base_card
Nick Montgomery,2024,no_base_card
Parker Smith,2024,no_base_card
Peyton Graham,2024,no_base_card
Quincy Scott,2024,no_base_card
Rafe Schlesinger,2024,no_base_card
Randal Diaz,2024,no_base_card
Raudi Rodriguez,2024,no_base_card
Rodney Green,2024,no_base_card
Rolphy Cruz,2024,no_base_card
Ryan Campos,2024,no_base_card
Samuel Gil,2024,no_base_card
Stanley Consuegra,2024,no_base_card
Stone Russell,2024,no_base_card
Tavian Josenberger,2024,no_base_card
Thomas Ireland,2024,no_base_card
Thomas Sosa,2024,no_base_card
Trey Snyder,2024,no_base_card
Ty Southisene,2024,no_base_card
Tyson Neighbors,2024,no_base_card
Tytus Cissell,2024,no_base_card
Walker Martin,2024,no_base_card
Wilfredo Lara,2024,no_base_card
Will Bush,2024,no_base_card
Will Verdung,2024,no_base_card
Yaikel Mijares,2024,no_base_card
Yoffry Solano,2024,no_base_card
Yohairo Cuevas,2024,no_base_card
Yoiber Ocopio,2024,no_base_card
Yoniel Curet,2024,no_base_card
Yordanny Monegro,2024,no_base_card
Angel Cepeda,2025,no_base_card
Corey Cousin,2025,no_base_card
Darison Garcia,2025,no_base_card
Henry Baez,2025,no_base_card
Jadyn Fielder,2025,no_base_card
Javier Vaz,2025,no_base_card
Matthew Etzel,2025,no_base_card
Mavis Graves,2025,no_base_card
Natanael Yuten,2025,no_base_card
Nick Lorusso,2025,no_base_card
Sabier Marte,2025,no_base_card
Trevor Harrison,2025,no_base_card
Zander Darby,2025,no_base_card
Trey Dombroski III,2022,no_base_card
